Source,Target,Weight
園藝暨景觀學系,動物科學技術學系,5
森林環境暨資源學系,動物科學技術學系,5
生命科學系,動物科學技術學系,4
土木工程學系,動物科學技術學系,3
森林環境暨資源學系,農藝學系,18
森林環境暨資源學系,園藝暨景觀學系,15
生物環境系統工程學系,森林環境暨資源學系,14
地質科學系,森林環境暨資源學系,9
森林環境暨資源學系,農業化學系,8
生命科學系,森林環境暨資源學系,8
土木工程學系,森林環境暨資源學系,7
森林環境暨資源學系,植物病理與微生物學系,7
森林環境暨資源學系,地理環境資源學系,6
森林環境暨資源學系,動物科學技術學系,5
森林環境暨資源學系,昆蟲學系,5
生物產業傳播暨發展學系,森林環境暨資源學系,4
森林環境暨資源學系,職能治療學系,4
生物產業機電工程學系,森林環境暨資源學系,3
森林環境暨資源學系,歷史學系,3
森林環境暨資源學系,生化科技學系,3
森林環境暨資源學系,物理治療學系,3
森林環境暨資源學系,大氣科學系,3
公共衛生學系,森林環境暨資源學系,3
森林環境暨資源學系,數學系,3
農業化學系,生化科技學系,9
森林環境暨資源學系,農業化學系,8
化學系,農業化學系,7
生物環境系統工程學系,農業化學系,7
農業化學系,園藝暨景觀學系,5
農業化學系,農藝學系,5
化學工程學系,農業化學系,4
地質科學系,農業化學系,4
農業化學系,植物病理與微生物學系,4
生物環境系統工程學系,土木工程學系,16
生物環境系統工程學系,森林環境暨資源學系,14
生物環境系統工程學系,地質科學系,10
生物環境系統工程學系,農業化學系,7
生物環境系統工程學系,生物產業機電工程學系,6
生物環境系統工程學系,化學工程學系,5
生命科學系,生物環境系統工程學系,5
化學系,生物環境系統工程學系,4
生物環境系統工程學系,園藝暨景觀學系,4
工程科學及海洋工程學系,生物環境系統工程學系,3
生物環境系統工程學系,生化科技學系,3
生物環境系統工程學系,機械工程學系,3
生物環境系統工程學系,大氣科學系,3
園藝暨景觀學系,農藝學系,20
森林環境暨資源學系,農藝學系,18
昆蟲學系,農藝學系,5
農業化學系,農藝學系,5
植物病理與微生物學系,農藝學系,4
生命科學系,農藝學系,3
生物產業傳播暨發展學系,農藝學系,3
生化科技學系,農藝學系,3
公共衛生學系,農藝學系,3
材料科學與工程學系,電機工程學系,54
材料科學與工程學系,化學工程學系,33
材料科學與工程學系,資訊工程學系,24
材料科學與工程學系,機械工程學系,19
材料科學與工程學系,財務金融學系,9
化學系,材料科學與工程學系,8
物理學系,材料科學與工程學系,7
材料科學與工程學系,會計學系,5
材料科學與工程學系,大氣科學系,4
材料科學與工程學系,生物產業機電工程學系,4
工商管理學系科技管理組,材料科學與工程學系,4
